timestamp,algorithm,tasks,makespan,throughput,resource_utilization,average_waiting_time,vm_utilization
2026-05-07T03:24:14,FCFS,1000,100.5819,9.9421,0.4426,0.0411,VM01:0.7486; VM02:0.7371; VM03:0.5976; VM04:0.5849; VM05:0.4317; VM06:0.3928; VM07:0.2794; VM08:0.2624; VM09:0.1960; VM10:0.1954
2026-05-07T03:24:14,SJF,1000,126.7729,7.8881,0.2355,54.3878,VM01:0.2379; VM02:0.2379; VM03:0.2410; VM04:0.2410; VM05:0.2462; VM06:0.2462; VM07:0.2381; VM08:0.2381; VM09:0.2144; VM10:0.2144
2026-05-07T03:24:14,EFT,1000,100.2376,9.9763,0.1624,0.0967,VM01:0.0000; VM02:0.0000; VM03:0.0294; VM04:0.0053; VM05:0.1430; VM06:0.1164; VM07:0.2790; VM08:0.2937; VM09:0.3751; VM10:0.3823
